epoch;batch;time;data;learning_rate;loss;pearson_correlation
1;122;0.281;0.001;6.01e-05;1.02481;0.614
1;123;0.282;0.0;6.06e-05;0.74842;0.613
1;124;0.28;0.0;6.11e-05;0.76701;0.613
1;125;0.279;0.0;6.16e-05;0.60045;0.613
1;126;0.281;0.001;6.21e-05;0.53924;0.613
1;127;0.282;0.0;6.26e-05;0.63981;0.613
1;128;0.282;0.001;6.31e-05;0.48888;0.613
1;129;0.282;0.0;6.35e-05;0.39256;0.615
1;130;0.282;0.001;6.4e-05;0.64492;0.614
1;131;0.282;0.0;6.45e-05;0.36904;0.615
1;132;0.282;0.0;6.5e-05;0.47327;0.615
1;133;0.28;0.0;6.55e-05;0.68359;0.615
1;134;0.28;0.001;6.6e-05;0.69307;0.615
1;135;0.279;0.001;6.65e-05;0.8744;0.613
1;136;0.281;0.001;6.7e-05;0.35975;0.614
1;137;0.278;0.0;6.75e-05;0.70162;0.614
1;138;0.281;0.001;6.8e-05;0.56852;0.615
1;139;0.281;0.001;6.85e-05;0.46733;0.616
1;140;0.28;0.001;6.9e-05;0.33627;0.618
1;141;0.279;0.0;6.95e-05;0.30791;0.62
1;142;0.28;0.0;7e-05;0.72273;0.62
1;143;0.28;0.001;7.04e-05;0.49912;0.62
1;144;0.281;0.001;7.09e-05;0.55251;0.621
1;145;0.278;0.001;7.14e-05;0.78701;0.621
1;146;0.28;0.001;7.19e-05;0.61818;0.621
1;147;0.282;0.0;7.24e-05;0.50127;0.622
1;148;0.279;0.001;7.29e-05;0.61915;0.622
1;149;0.28;0.0;7.34e-05;0.6692;0.622
1;150;0.282;0.001;7.39e-05;0.52092;0.623
1;151;0.286;0.001;7.44e-05;0.9142;0.621
1;152;0.282;0.001;7.49e-05;0.78225;0.62
1;153;0.28;0.0;7.54e-05;0.47031;0.621
1;154;0.285;0.0;7.59e-05;0.65582;0.621
1;155;0.284;0.001;7.64e-05;0.62862;0.621
1;156;0.282;0.001;7.68e-05;1.16477;0.619
1;157;0.283;0.001;7.73e-05;0.58106;0.619
1;158;0.279;0.001;7.78e-05;0.69705;0.62
1;159;0.28;0.0;7.83e-05;0.53607;0.621
1;160;0.28;0.001;7.88e-05;0.857;0.621
1;161;0.278;0.001;7.93e-05;0.85518;0.619
1;162;0.277;0.0;7.98e-05;0.62063;0.619
1;163;0.28;0.0;8.03e-05;0.50351;0.621
1;164;0.28;0.0;8.08e-05;0.84456;0.62
1;165;0.278;0.001;8.13e-05;0.89874;0.619
1;166;0.279;0.001;8.18e-05;0.3472;0.62
1;167;0.281;0.0;8.23e-05;0.70186;0.62
1;168;0.28;0.001;8.28e-05;0.41849;0.622
1;169;0.279;0.001;8.33e-05;0.8663;0.621
1;170;0.28;0.0;8.37e-05;0.76085;0.62
1;171;0.278;0.0;8.42e-05;1.1902;0.618
1;172;0.28;0.0;8.47e-05;0.5638;0.618
1;173;0.282;0.0;8.52e-05;0.65067;0.618
1;174;0.28;0.0;8.57e-05;1.00314;0.617
1;175;0.281;0.001;8.62e-05;0.69223;0.617
1;176;0.283;0.001;8.67e-05;0.62436;0.616
1;177;0.281;0.001;8.72e-05;0.75739;0.616
1;178;0.284;0.0;8.77e-05;0.52518;0.616
1;179;0.283;0.0;8.82e-05;0.91506;0.615
1;180;0.285;0.001;8.87e-05;0.70791;0.615
